episode, reward, success, duration, steps, total_steps, memory length, avg_critic_loss, avg_actor_loss
129, -3458.251261472702, 2, 4.32341668700019, 233, 81825,                                             81825, 0.0, 4322.7529296875
130, -8516.268695354462, 2, 30.148591272999965, 1652, 83477,                                             83477, 0.0, 4348.40625
131, -5822.291602551937, 2, 17.343380050000178, 948, 84425,                                             84425, 0.0, 4113.2724609375
132, 2414.140643119812, 1, 1.523296375999962, 76, 84501,                                             84501, 0.0, 4209.30517578125
133, -3996.373391509056, 2, 5.302551127999777, 287, 84788,                                             84788, 0.0, 3944.6220703125
134, 1312.658722281456, 1, 6.725074061000214, 374, 85162,                                             85162, 0.0, 3909.210205078125
135, -2884.873133420944, 2, 2.719923285999812, 139, 85301,                                             85301, 0.0, 3640.854736328125
136, -3252.0074410438538, 2, 5.70625131099996, 296, 85597,                                             85597, 0.0, 4432.39892578125
137, -3311.2918004989624, 2, 6.128469311999652, 337, 85934,                                             85934, 0.0, 4020.792236328125
138, -2564.703731417656, 2, 2.7031187890002, 134, 86068,                                             86068, 0.0, 4269.498046875
139, -2595.7537121772766, 2, 2.522184601999925, 138, 86206,                                             86206, 0.0, 4625.1669921875
140, -4341.506212353706, 2, 9.127238792999833, 512, 86718,                                             86718, 0.0, 4152.93017578125
141, -4102.859898209572, 2, 9.320996382999965, 499, 87217,                                             87217, 0.0, 4003.31787109375
142, -2827.7656635046005, 2, 3.101810703999945, 155, 87372,                                             87372, 0.0, 4419.72705078125
143, -3900.841269493103, 2, 7.322084063000148, 407, 87779,                                             87779, 0.0, 3973.549560546875
144, -4255.809064388275, 2, 6.728237712999999, 377, 88156,                                             88156, 0.0, 4236.65576171875
145, -4046.624487400055, 2, 8.125121554999623, 447, 88603,                                             88603, 0.0, 4043.421142578125
146, 1471.026225477457, 1, 4.120224136000161, 211, 88814,                                             88814, 0.0, 5272.642578125
147, -3061.897099137306, 2, 3.902131152000038, 195, 89009,                                             89009, 0.0, 4103.99560546875
148, -3287.693910241127, 3, 4.920908655999938, 260, 89269,                                             89269, 0.0, 4569.45361328125
149, -4325.059475064278, 2, 6.923928767999769, 383, 89652,                                             89652, 0.0, 4300.11572265625
150, -4062.2367557287216, 2, 5.724661078000281, 314, 89966,                                             89966, 0.0, 3918.097412109375
151, -3638.2539927363396, 1, 27.748120294999808, 1536, 91502,                                             91502, 0.0, 4296.35009765625
