episode, reward, success, duration, steps, total_steps, memory length, avg_critic_loss, avg_actor_loss
107, -2939.5651512145996, 2, 2.45832314900008, 138, 47758,                                             47758, 0.0, 8392.875
108, -2867.1472380161285, 2, 2.189393500999813, 122, 47880,                                             47880, 0.0, 8182.14208984375
109, -3953.0234928131104, 2, 4.4627545440002905, 236, 48116,                                             48116, 0.0, 8182.208984375
110, -2922.475866794586, 2, 2.3681315290000384, 134, 48250,                                             48250, 0.0, 7348.744140625
111, -2808.160527229309, 2, 2.0746244689999003, 117, 48367,                                             48367, 0.0, 7727.404296875
112, -3741.577225923538, 2, 5.089897932999975, 273, 48640,                                             48640, 0.0, 8164.9853515625
113, -4297.4733563661575, 2, 8.34295464700017, 452, 49092,                                             49092, 0.0, 7251.86083984375
114, -2743.3774707317352, 2, 2.2087985940002, 122, 49214,                                             49214, 0.0, 8087.12841796875
115, -2977.6209766864777, 2, 2.8133883460000106, 146, 49360,                                             49360, 0.0, 7070.53662109375
116, -2725.7875578403473, 2, 2.501339614999779, 119, 49479,                                             49479, 0.0, 6892.93310546875
117, -3726.8114812374115, 2, 5.128969291999965, 291, 49770,                                             49770, 0.0, 6392.97998046875
118, -4168.696837425232, 2, 5.495900683999935, 295, 50065,                                             50065, 0.0, 7649.09130859375
119, -2989.657270491123, 2, 3.5887051630002134, 202, 50267,                                             50267, 0.0, 8551.7880859375
120, -2708.6127502918243, 2, 1.3654332790001718, 74, 50341,                                             50341, 0.0, 6068.5810546875
121, -2608.8794054985046, 2, 1.3937394980002864, 77, 50418,                                             50418, 0.0, 6265.478515625
122, -3277.9113277196884, 3, 3.9056368630003817, 224, 50642,                                             50642, 0.0, 6893.29150390625
123, -5110.9703406095505, 2, 9.176489756000137, 516, 51158,                                             51158, 0.0, 6744.416015625
124, -2943.1329352855682, 2, 2.6339760820001175, 134, 51292,                                             51292, 0.0, 6401.939453125
125, -2657.2288188934326, 2, 1.5148117200001252, 84, 51376,                                             51376, 0.0, 7387.37939453125
126, -2861.862714290619, 2, 2.208806473000095, 123, 51499,                                             51499, 0.0, 6394.01220703125
127, -3112.768795490265, 2, 2.430743320000147, 137, 51636,                                             51636, 0.0, 6995.3388671875
128, -2575.7187037467957, 2, 1.5094726230004198, 85, 51721,                                             51721, 0.0, 7593.16455078125
129, -2825.4958000183105, 2, 2.37892222399978, 128, 51849,                                             51849, 0.0, 5129.78369140625
130, -3982.3492349386215, 2, 5.091460286999791, 283, 52132,                                             52132, 0.0, 6178.03271484375
131, -3741.2406787872314, 2, 6.000621533999947, 338, 52470,                                             52470, 0.0, 6028.13623046875
132, -3581.4109354019165, 2, 4.141789537000022, 227, 52697,                                             52697, 0.0, 5944.375
133, -3439.6711461544037, 2, 3.6864142290000927, 196, 52893,                                             52893, 0.0, 5952.8271484375
134, -3291.8233354091644, 2, 3.237475596999957, 180, 53073,                                             53073, 0.0, 6132.74169921875
135, -4326.373973965645, 2, 6.378922622000118, 360, 53433,                                             53433, 0.0, 6427.6689453125
136, -3233.157770752907, 2, 4.129287097000088, 211, 53644,                                             53644, 0.0, 6966.07275390625
137, -3775.271014690399, 2, 2.981550400999822, 167, 53811,                                             53811, 0.0, 6758.52783203125
138, -3007.3003027439117, 2, 2.3089003039999625, 129, 53940,                                             53940, 0.0, 7811.83935546875
139, -3175.4976058006287, 2, 2.7228990529997645, 156, 54096,                                             54096, 0.0, 7275.12841796875
140, -4964.335616469383, 3, 9.214330103000066, 494, 54590,                                             54590, 0.0, 6176.9462890625
141, -3167.9790844917297, 2, 2.3457897279999997, 130, 54720,                                             54720, 0.0, 6395.25537109375
142, -2754.234252691269, 2, 1.657040638000126, 94, 54814,                                             54814, 0.0, 5788.27001953125
143, -4407.284139037132, 2, 6.53286416400033, 365, 55179,                                             55179, 0.0, 6157.32470703125
144, -3484.933946609497, 2, 1.7642727310003465, 98, 55277,                                             55277, 0.0, 6997.40576171875
145, -3939.3067202568054, 2, 2.261100658000032, 127, 55404,                                             55404, 0.0, 6880.28759765625
